tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""06065042522""","""Riverside-San Bernardino-Ontario, CA""",3.00,3559.00,1100.00,251.59,44,55,46,25,31,27,20,24,20,6.13,31.90,1.88,2,2,16900,16703,15411,3,3,3,16051,15673,14710,11536,11208,10601,4444,4392,4052,71,73,56,63,65,50,6.5,5.8,4.37,21438,56,32713,42,9,1662,1815,1242,49,51
"""06065042523""","""Riverside-San Bernardino-Ontario, CA""",3.00,5360.00,1531.00,504.99,43,53,44,23,29,25,20,24,20,5.93,25.83,1.88,2,2,17070,16873,15581,4,4,4,16078,15701,14733,11497,11169,10562,4489,4437,4097,93,96,74,83,85,66,7.0,6.2,3.03,22965,53,31793,41,20,1540,537,2005,43,57
"""06065042621""","""Riverside-San Bernardino-Ontario, CA""",4.00,8231.00,1998.00,648.80,51,63,53,29,37,32,22,27,22,7.32,26.85,2.06,2,2,18733,18536,17243,2,2,2,17643,17266,16297,12620,12292,11685,4926,4874,4534,98,100,78,96,98,76,3.6,4.8,3.08,18852,93,19356,40,13,1986,1941,1839,72,28
"""06065042622""","""Riverside-San Bernardino-Ontario, CA""",2.00,4977.00,1472.00,1233.58,57,71,60,36,45,39,21,26,21,6.79,9.16,2.00,2,2,18709,18512,17220,2,3,2,17251,16874,15904,12228,11900,11293,4920,4868,4528,104,107,83,101,104,81,3.6,5.5,1.19,15199,60,17312,40,49,2421,2500,2550,56,44
"""06065042623""","""Riverside-San Bernardino-Ontario, CA""",2.00,3737.00,1206.00,9259.08,59,73,62,35,44,38,24,29,24,7.68,10.03,2.21,2,2,21543,21346,20053,1,1,1,19236,18858,17898,13513,13185,12578,5665,5613,5273,59,61,47,58,59,46,0.6,5.7,0.13,10099,90,11374,41,232,2373,2366,2541,73,27
"""06065042624""","""Riverside-San Bernardino-Ontario, CA""",2.00,5110.00,1275.00,12338.02,60,74,63,36,45,39,24,29,24,8.18,6.85,2.22,2,2,21488,21291,19999,1,1,1,19264,18886,17927,13562,13234,12627,5650,5598,5259,51,53,41,50,52,40,1.0,5.7,0.10,9802,96,11248,41,82,2439,2640,1693,81,19
"""06065042625""","""Riverside-San Bernardino-Ontario, CA""",2.00,6432.00,1381.00,4477.48,54,67,56,31,38,33,23,28,23,8.37,6.22,2.17,2,2,20923,20726,19434,1,2,1,18830,18452,17491,13267,12939,12332,5502,5450,5110,61,63,49,60,62,48,3.1,4.4,0.31,13534,80,24954,45,36,2063,2436,702,71,29
"""06065042626""","""Riverside-San Bernardino-Ontario, CA""",3.00,9239.00,2031.00,4178.69,57,71,60,34,42,36,24,29,24,8.59,14.29,2.21,2,2,21572,21375,20083,1,1,1,19239,18861,17900,13507,13179,12572,5672,5621,5281,59,61,47,58,59,46,2.9,4.7,0.49,13618,87,13181,44,37,2266,2341,1734,87,13
"""06065042627""","""Riverside-San Bernardino-Ontario, CA""",3.00,4877.00,1195.00,285.99,51,63,53,28,35,30,23,28,23,7.97,38.89,2.13,2,2,20645,20448,19156,1,1,1,18503,18125,17164,13013,12685,12079,5429,5377,5037,61,63,49,60,62,48,4.2,4.6,4.18,15989,96,15921,43,9,1886,1885,1311,80,20
"""06065042628""","""Riverside-San Bernardino-Ontario, CA""",4.00,4919.00,1253.00,287.75,37,46,39,16,20,18,21,26,21,5.60,30.14,1.95,2,2,19119,18922,17630,3,3,2,17102,16726,15754,11965,11637,11030,5027,4975,4636,110,113,88,108,111,86,5.6,4.7,4.35,16025,67,16919,43,16,1102,558,1399,49,51
"""06065042629""","""Riverside-San Bernardino-Ontario, CA""",3.00,6361.00,1522.00,287.84,52,64,54,29,36,31,23,28,23,7.65,51.53,2.11,2,2,20727,20530,19238,2,2,2,18454,18076,17113,12935,12607,12000,5450,5398,5058,68,70,55,67,69,53,3.5,4.5,5.29,13443,98,15068,43,10,1942,1899,2105,75,25
"""06065042630""","""Riverside-San Bernardino-Ontario, CA""",3.00,7249.00,1523.00,414.97,50,62,53,27,34,29,23,28,23,8.36,34.67,2.16,2,2,21134,20937,19645,2,2,2,18820,18442,17480,13194,12866,12260,5557,5505,5165,69,70,55,67,69,53,3.6,4.3,3.67,13759,100,14087,44,10,1839,2053,1019,82,18
"""06065042631""","""Riverside-San Bernardino-Ontario, CA""",3.00,5101.00,1173.00,323.55,51,63,53,28,35,30,23,28,23,7.45,27.64,2.12,2,2,20612,20415,19123,2,2,2,18519,18141,17174,13007,12679,12073,5420,5368,5028,91,94,73,89,92,71,3.7,4.3,3.63,15574,94,19543,44,20,1885,1843,2088,73,27
"""06065042632""","""Riverside-San Bernardino-Ontario, CA""",2.00,3589.00,793.00,517.54,54,67,57,32,39,34,23,28,23,5.38,17.79,2.14,2,2,20577,20380,19088,2,2,2,18600,18222,17258,13112,12784,12178,5411,5359,5019,77,79,61,75,77,60,3.7,4.4,1.53,15249,73,24563,44,22,2128,2213,1430,81,19
"""06065042708""","""Riverside-San Bernardino-Ontario, CA""",3.00,5515.00,1486.00,645.84,53,65,55,30,38,32,23,28,23,7.27,18.42,2.13,2,2,20422,20225,18933,2,2,2,18506,18129,17162,13048,12720,12113,5370,5318,4978,88,91,70,86,89,69,3.8,3.9,2.30,16753,93,13554,42,14,2027,2242,1050,83,17
"""06065042709""","""Riverside-San Bernardino-Ontario, CA""",3.00,4781.00,2047.00,1397.50,52,64,54,29,37,32,23,28,23,6.20,10.58,2.10,2,2,20970,20773,19481,1,1,1,18428,18050,17090,12860,12532,11925,5514,5462,5122,54,56,43,53,55,42,3.7,3.0,1.46,15133,80,9874,43,26,1974,2255,833,71,29
"""06065042711""","""Riverside-San Bernardino-Ontario, CA""",3.00,4000.00,2212.00,1135.92,41,50,42,18,23,20,23,28,23,4.78,9.53,2.12,2,2,20203,20006,18714,2,2,2,18386,18009,17041,12982,12654,12048,5312,5260,4921,91,94,73,89,92,71,3.8,4.3,1.95,17528,91,11968,41,14,1225,1151,1602,83,17
"""06065042714""","""Riverside-San Bernardino-Ontario, CA""",2.00,3238.00,1249.00,552.92,61,76,64,38,48,41,23,28,23,6.98,16.61,2.14,2,2,21644,21447,20155,1,1,1,18809,18430,17478,13094,12766,12159,5691,5639,5300,24,25,20,24,25,19,4.0,1.6,2.26,15274,89,10100,45,13,2574,2834,1492,75,25
"""06065042716""","""Riverside-San Bernardino-Ontario, CA""",3.00,5995.00,2127.00,666.88,64,80,68,41,51,44,24,29,24,7.23,23.95,2.17,2,2,22085,21888,20596,1,1,1,19100,18721,17767,13264,12936,12330,5807,5755,5416,28,29,22,28,28,22,3.4,1.8,3.19,15018,92,9667,45,16,2756,2923,1563,80,20
"""06065042717""","""Riverside-San Bernardino-Ontario, CA""",3.00,6334.00,1686.00,1598.25,53,66,55,29,36,31,24,29,24,7.66,10.67,2.20,2,2,22369,22172,20880,1,1,1,19367,18988,18035,13457,13129,12523,5882,5830,5490,28,29,23,27,28,22,2.8,3.4,1.05,13629,92,9056,44,31,1958,2043,1612,80,20
"""06065042719""","""Riverside-San Bernardino-Ontario, CA""",3.00,5598.00,1510.00,6734.14,49,60,51,25,32,27,23,29,23,8.01,2.12,2.13,2,2,22088,21891,20599,1,1,1,18900,18521,17565,13050,12722,12115,5808,5756,5417,42,43,33,41,42,33,3.7,3.8,0.22,8679,56,8894,44,83,1722,2090,1265,65,35
"""06065042720""","""Riverside-San Bernardino-Ontario, CA""",3.00,5308.00,1568.00,8818.69,48,60,50,24,31,26,24,29,24,7.47,4.06,2.16,2,2,22289,22092,20800,1,1,1,19115,18737,17778,13204,12876,12269,5861,5809,5469,50,51,40,49,50,39,3.0,2.5,0.18,8110,45,6918,43,115,1654,1712,1114,79,21
