tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""06001400100""","""San Francisco-Oakland-Berkeley, CA""",2.00,3269.00,1377.00,1716.36,50,63,84,37,46,63,14,17,21,5.16,6.39,2.06,2,2,16296,16099,15633,2,2,2,17624,17230,15934,13235,12891,11718,4287,4235,4111,103,105,106,46,47,47,5.0,9.3,0.80,31965,73,34475,38,28,3955,4001,3501,91,9
"""06001400200""","""San Francisco-Oakland-Berkeley, CA""",2.00,2147.00,876.00,144.94,43,53,72,31,39,54,11,14,18,3.60,21.76,1.72,2,2,11878,11681,11215,14,14,14,14798,14411,13223,11056,10711,9640,3125,3073,2949,618,627,633,276,280,283,8.9,9.5,6.04,59986,64,68390,37,5,3377,4001,2487,56,44
"""06001400300""","""San Francisco-Oakland-Berkeley, CA""",4.00,5619.00,2638.00,274.49,38,47,63,27,34,47,11,13,16,2.42,24.23,1.57,2,1,10448,10251,9785,16,17,17,13603,13219,12075,10109,9765,8738,2748,2696,2573,746,757,764,333,338,341,9.1,9.6,9.61,65802,43,80183,36,4,2927,4001,2417,36,64
"""06001400400""","""San Francisco-Oakland-Berkeley, CA""",3.00,4278.00,1760.00,176.96,38,48,64,28,34,47,11,13,17,3.61,37.18,1.64,2,1,11236,11039,10573,15,15,16,14195,13810,12645,10555,10211,9163,2956,2904,2780,685,695,702,307,311,314,9.1,9.5,9.95,63607,47,73416,37,4,2965,3695,2333,50,50
"""06001400500""","""San Francisco-Oakland-Berkeley, CA""",3.00,3949.00,1679.00,146.14,34,42,57,23,29,40,11,13,17,3.30,38.03,1.63,2,1,11185,10988,10523,15,15,15,14096,13710,12548,10491,10147,9102,2942,2890,2767,663,673,679,299,304,306,9.2,9.5,11.49,66711,45,79080,37,4,2506,2787,2187,48,52
"""06001400600""","""San Francisco-Oakland-Berkeley, CA""",2.00,2058.00,768.00,73.60,38,47,63,27,34,47,11,13,16,3.89,40.57,1.59,2,1,10749,10552,10086,16,16,16,13771,13386,12237,10222,9878,8846,2827,2776,2652,721,732,738,322,327,330,9.3,9.5,10.43,68136,42,84620,37,4,2955,3857,2360,40,60
"""06001400700""","""San Francisco-Oakland-Berkeley, CA""",4.00,4758.00,2012.00,213.93,35,44,59,25,31,43,10,13,16,3.51,33.56,1.57,2,1,10738,10541,10075,13,13,14,13493,13107,11964,10069,9725,8700,2825,2773,2649,600,610,615,268,272,275,9.3,9.5,9.40,67368,40,88338,38,3,2668,3432,2183,37,63
"""06001400800""","""San Francisco-Oakland-Berkeley, CA""",3.00,4335.00,1885.00,179.35,33,41,55,23,29,39,10,13,16,3.56,37.29,1.55,1,1,11191,10994,10529,13,13,13,13439,13052,11916,9923,9579,8561,2944,2892,2768,572,581,587,256,260,262,9.3,9.3,10.51,60013,31,84425,39,3,2469,3454,2016,35,65
"""06001400900""","""San Francisco-Oakland-Berkeley, CA""",2.00,2844.00,1113.00,100.75,34,43,57,24,30,41,10,13,16,3.95,43.74,1.56,2,1,11054,10857,10392,13,13,13,13530,13143,12002,10037,9693,8669,2908,2856,2732,586,595,601,261,266,268,9.3,9.4,11.05,64917,37,89395,38,4,2589,3341,2181,36,64
"""06001401000""","""San Francisco-Oakland-Berkeley, CA""",6.00,6277.00,2302.00,283.92,33,41,55,23,29,39,11,13,16,3.62,35.98,1.59,2,1,10431,10234,9768,16,16,17,13661,13276,12128,10191,9847,8816,2744,2692,2569,726,737,744,324,329,332,9.3,9.6,8.11,69698,51,101709,36,4,2459,2483,2199,41,59
"""06001401100""","""San Francisco-Oakland-Berkeley, CA""",4.00,5537.00,2649.00,215.80,32,39,53,22,28,38,10,12,15,2.59,33.13,1.43,1,1,9274,9077,8611,20,21,21,12544,12162,11063,9176,8832,7849,2439,2388,2264,928,942,950,415,421,424,9.4,9.7,12.27,72760,21,98853,36,4,2378,3659,2087,21,79
"""06001401200""","""San Francisco-Oakland-Berkeley, CA""",3.00,2994.00,1429.00,163.98,40,49,66,29,37,50,10,13,16,2.97,25.98,1.56,2,1,9879,9682,9216,17,17,17,13360,12975,11837,9997,9653,8632,2599,2547,2423,764,775,782,341,346,349,9.3,9.7,8.71,72468,46,94430,35,3,3154,3675,2850,39,61
"""06001401300""","""San Francisco-Oakland-Berkeley, CA""",3.00,4608.00,2401.00,212.98,30,38,51,22,27,37,9,11,13,1.78,24.49,1.30,1,1,8293,8096,7630,21,21,21,11473,11090,10030,8357,8013,7068,2181,2130,2006,934,948,955,417,423,426,9.5,9.8,11.27,76772,5,135851,35,3,2327,2688,2141,13,87
"""06001401400""","""San Francisco-Oakland-Berkeley, CA""",3.00,5392.00,1741.00,186.51,30,37,49,20,25,35,9,11,14,3.65,38.49,1.42,1,1,9001,8804,8338,17,17,17,12238,11853,10756,9120,8776,7795,2368,2316,2193,750,762,769,335,340,343,9.5,9.8,9.33,71833,26,127176,35,3,2194,2248,2130,23,77
"""06001401500""","""San Francisco-Oakland-Berkeley, CA""",3.00,3035.00,1203.00,115.58,27,33,45,17,21,29,10,12,15,3.18,33.07,1.53,1,1,10107,9910,9445,9,9,9,12908,12519,11386,9844,9500,8486,2659,2607,2483,405,412,416,181,184,186,9.4,9.6,10.41,64842,33,111857,36,3,1841,3382,1143,36,64
"""06001401600""","""San Francisco-Oakland-Berkeley, CA""",2.00,2403.00,909.00,157.19,29,36,48,20,25,34,10,12,14,3.12,19.00,1.44,1,1,9533,9336,8870,12,13,13,12299,11912,10808,9227,8883,7898,2508,2456,2332,564,573,578,252,256,258,9.4,9.7,5.78,64767,15,127517,36,3,2132,3378,1617,28,72
"""06001401700""","""San Francisco-Oakland-Berkeley, CA""",3.00,3276.00,1406.00,1421.21,39,49,65,28,35,49,11,13,17,4.07,20.13,1.62,2,1,12298,12101,11635,8,8,8,14013,13623,12462,10420,10076,9034,3235,3183,3059,358,364,368,160,163,164,8.7,9.3,0.99,41258,24,77292,38,6,3057,3505,2673,48,52
"""06001401800""","""San Francisco-Oakland-Berkeley, CA""",2.00,1709.00,693.00,74.38,31,38,51,21,26,35,10,12,15,3.60,33.85,1.52,1,1,10970,10773,10307,10,11,11,13153,12765,11635,9792,9448,8436,2886,2834,2710,476,484,488,212,216,218,9.2,9.5,9.32,43340,32,84272,37,2,2212,3415,1676,30,70
"""06001402200""","""San Francisco-Oakland-Berkeley, CA""",3.00,2337.00,924.00,176.84,35,43,58,25,31,42,10,13,16,3.77,29.48,1.55,1,1,10961,10764,10298,12,12,12,13377,12990,11851,9971,9627,8606,2883,2831,2708,523,532,537,234,237,240,9.1,9.5,5.23,47278,33,93440,37,3,2661,3154,2427,39,61
"""06001402400""","""San Francisco-Oakland-Berkeley, CA""",2.00,2623.00,1242.00,83.28,23,29,38,14,18,24,9,11,14,2.07,32.19,1.42,1,1,9338,9141,8675,13,13,13,12163,11776,10678,9116,8772,7792,2456,2405,2281,590,599,605,264,268,270,9.4,9.7,14.91,60986,21,130356,36,3,1514,2638,1176,23,77
"""06001402500""","""San Francisco-Oakland-Berkeley, CA""",2.00,2010.00,773.00,90.31,20,24,32,10,13,18,9,11,14,2.50,21.06,1.39,1,1,9447,9250,8785,14,14,14,12018,11632,10544,8910,8566,7596,2485,2433,2310,623,633,639,278,282,285,9.4,9.7,8.56,56169,13,123703,36,4,1117,1310,988,16,84
"""06001402600""","""San Francisco-Oakland-Berkeley, CA""",1.00,1300.00,615.00,78.79,23,29,38,14,18,25,9,11,13,1.98,15.48,1.32,1,1,8688,8491,8026,17,17,18,11551,11166,10099,8494,8150,7199,2285,2234,2110,771,783,790,344,350,353,9.5,9.8,7.81,61917,6,132202,35,2,1548,3405,1153,18,82
"""06001402700""","""San Francisco-Oakland-Berkeley, CA""",2.00,2039.00,735.00,95.68,29,36,48,19,24,33,10,12,14,3.14,25.34,1.43,1,1,9059,8862,8396,16,16,17,12292,11908,10808,9180,8836,7853,2383,2331,2208,729,741,747,326,331,334,9.5,9.8,7.68,66382,28,135965,35,2,2089,1635,2094,32,68
"""06001402801""","""San Francisco-Oakland-Berkeley, CA""",3.00,3254.00,1707.00,72.00,21,26,36,16,20,27,9,11,13,1.77,75.57,1.27,1,1,8188,7991,7526,24,25,25,11443,11062,10010,8180,7836,6899,2154,2102,1979,1109,1124,1132,495,502,505,9.6,9.8,23.71,72210,3,137851,35,4,1714,2126,1628,14,86
"""06001402802""","""San Francisco-Oakland-Berkeley, CA""",2.00,1430.00,717.00,29.30,15,18,24,6,8,11,9,10,13,0.63,29.85,1.22,1,1,7821,7624,7158,25,26,26,11069,10689,9652,7861,7517,6596,2057,2005,1882,1150,1166,1174,513,520,524,9.5,9.8,24.47,68612,0,136192,35,2,692,,721,4,96
"""06001402900""","""San Francisco-Oakland-Berkeley, CA""",2.00,1828.00,1236.00,100.60,22,28,37,14,17,24,9,10,13,,,1.24,1,1,7983,7786,7320,25,25,26,11222,10841,9799,7986,7642,6714,2100,2048,1925,1136,1152,1160,507,514,518,9.6,9.8,12.29,75476,0,136585,35,4,1474,,1474,0,100
"""06001403000""","""San Francisco-Oakland-Berkeley, CA""",3.00,2897.00,1566.00,87.08,16,20,27,10,13,18,9,11,14,1.49,32.37,1.32,1,1,8781,8584,8119,22,23,23,11825,11444,10377,8496,8151,7200,2310,2258,2135,1019,1034,1042,455,462,465,9.5,9.8,17.98,66769,1,131890,35,2,1102,1892,472,31,69
"""06001403100""","""San Francisco-Oakland-Berkeley, CA""",2.00,1941.00,960.00,85.71,33,41,55,24,30,41,9,11,14,1.88,20.89,1.36,1,1,9208,9011,8545,20,20,21,12040,11657,10581,8702,8358,7397,2422,2370,2247,916,929,937,409,415,418,9.5,9.8,11.20,63869,0,132173,35,2,2549,3188,2039,35,65
"""06001403301""","""San Francisco-Oakland-Berkeley, CA""",2.00,1830.00,771.00,48.58,24,30,40,15,19,26,9,11,14,1.61,25.16,1.33,1,1,8476,8279,7813,21,21,21,11729,11347,10277,8559,8215,7261,2230,2178,2054,940,954,961,420,426,429,9.5,9.8,15.87,67655,17,130527,35,2,1639,,1894,13,87
"""06001403302""","""San Francisco-Oakland-Berkeley, CA""",3.00,2556.00,1416.00,177.73,39,49,66,30,37,51,10,12,15,2.77,46.60,1.42,1,1,9721,9524,9058,16,17,17,12450,12065,10967,9145,8801,7819,2557,2505,2382,748,759,766,334,339,342,9.4,9.7,7.97,63776,8,127219,36,5,3193,3328,3104,38,62
"""06001403401""","""San Francisco-Oakland-Berkeley, CA""",3.00,2717.00,1985.00,135.83,26,33,44,17,22,30,9,11,14,0.92,38.08,1.30,1,1,8546,8349,7883,22,22,22,11607,11225,10164,8377,8033,7087,2248,2196,2073,982,996,1004,439,445,448,9.5,9.8,14.61,75598,2,132927,35,7,1881,2540,1568,15,85
"""06001403402""","""San Francisco-Oakland-Berkeley, CA""",2.00,1134.00,735.00,24.52,24,30,40,16,20,27,9,11,13,1.75,130.16,1.26,1,1,8202,8005,7539,25,25,26,11407,11027,9978,8106,7762,6829,2158,2106,1982,1143,1159,1167,510,517,521,9.5,9.8,29.98,73912,2,133993,35,9,1687,,1687,0,100
"""06001403501""","""San Francisco-Oakland-Berkeley, CA""",4.00,4904.00,2714.00,165.53,31,38,51,22,27,37,9,11,14,1.60,28.30,1.33,1,1,8358,8161,7695,21,21,22,11694,11312,10243,8541,8197,7243,2198,2147,2023,955,969,976,426,432,436,9.5,9.8,16.40,78316,11,127075,35,4,2334,2787,2151,15,85
"""06001403502""","""San Francisco-Oakland-Berkeley, CA""",2.00,1919.00,1118.00,44.76,30,37,49,21,26,35,9,11,13,1.75,42.79,1.34,1,1,8297,8100,7635,18,18,19,11579,11195,10123,8580,8236,7280,2183,2131,2008,816,828,835,365,370,373,9.5,9.8,24.98,78962,10,125727,35,3,2223,3184,2075,16,84
"""06001403600""","""San Francisco-Oakland-Berkeley, CA""",3.00,5056.00,2833.00,97.07,31,38,51,22,27,37,9,11,13,1.84,54.95,1.35,1,1,8566,8369,7903,14,14,15,11572,11186,10108,8681,8337,7377,2253,2201,2078,637,647,653,284,289,292,9.5,9.8,29.19,79238,4,122985,34,6,2344,3196,2090,15,85
"""06001403701""","""San Francisco-Oakland-Berkeley, CA""",2.00,2909.00,1752.00,42.98,32,39,52,23,29,39,9,10,13,1.34,54.25,1.26,1,1,8016,7819,7353,22,22,23,11213,10831,9783,8099,7755,6822,2109,2057,1934,1005,1020,1027,449,455,459,9.5,9.8,40.76,79816,0,137254,35,5,2469,2871,2415,12,88
"""06001403702""","""San Francisco-Oakland-Berkeley, CA""",2.00,2238.00,1202.00,49.20,31,39,52,23,28,39,9,10,13,1.90,56.70,1.31,1,1,8154,7957,7491,14,14,14,11220,10834,9768,8444,8100,7151,2145,2093,1970,631,641,647,282,286,289,9.5,9.8,24.43,79765,2,126847,35,3,2445,2939,2211,15,85
"""06001403800""","""San Francisco-Oakland-Berkeley, CA""",4.00,4008.00,1934.00,161.28,35,44,58,25,32,43,10,12,15,2.56,31.77,1.51,1,1,9662,9465,9000,12,12,12,12785,12397,11271,9714,9369,8361,2542,2490,2366,530,538,543,236,240,243,9.2,9.8,11.99,73357,27,88363,35,3,2717,2843,1989,34,66
"""06001403900""","""San Francisco-Oakland-Berkeley, CA""",3.00,3883.00,2157.00,121.85,25,31,42,16,20,27,10,12,15,2.10,37.10,1.47,1,1,9416,9219,8754,13,13,13,12491,12104,10992,9426,9082,8087,2477,2425,2302,587,597,602,262,266,269,9.4,9.8,17.70,75911,13,104709,34,6,1705,992,2181,35,65
"""06001404000""","""San Francisco-Oakland-Berkeley, CA""",3.00,3145.00,1814.00,90.68,30,37,49,20,25,35,9,11,14,1.91,53.81,1.39,1,1,8968,8771,8306,17,17,18,12087,11702,10613,8958,8614,7641,2359,2307,2184,770,781,788,344,349,352,9.5,9.8,20.00,74859,8,101422,35,4,2194,3033,1933,26,74
"""06001404101""","""San Francisco-Oakland-Berkeley, CA""",3.00,3208.00,1767.00,140.67,36,44,59,26,32,44,10,12,15,2.64,36.55,1.54,1,1,10016,9819,9353,13,13,13,13109,12722,11588,9893,9549,8532,2635,2583,2459,581,590,596,259,263,266,9.3,9.7,12.56,69216,32,84607,35,4,2752,3752,2156,37,63
"""06001404102""","""San Francisco-Oakland-Berkeley, CA""",2.00,2701.00,1628.00,56.88,29,36,48,20,25,34,9,11,14,1.60,46.82,1.40,1,1,9237,9040,8575,17,17,17,12186,11801,10710,8995,8651,7677,2430,2378,2255,761,772,779,340,345,348,9.4,9.8,28.62,71926,8,90189,35,7,2134,1672,2085,16,84
"""06001404200""","""San Francisco-Oakland-Berkeley, CA""",3.00,3894.00,1460.00,674.16,48,59,80,35,44,60,13,16,20,4.68,16.28,1.95,2,2,14147,13950,13485,5,5,5,16483,16091,14830,12521,12177,11038,3721,3670,3546,240,244,247,107,109,110,7.6,9.6,2.17,49822,80,52928,36,16,3775,4001,2208,82,18
"""06001404300""","""San Francisco-Oakland-Berkeley, CA""",3.00,3587.00,1424.00,449.00,49,61,82,36,45,62,13,16,20,4.51,16.61,1.94,2,2,13807,13610,13145,8,8,8,16448,16057,14801,12462,12118,10981,3632,3580,3456,354,360,364,158,161,162,7.7,9.6,3.17,53270,85,59253,36,7,3913,4001,1335,92,8
"""06001404400""","""San Francisco-Oakland-Berkeley, CA""",4.00,5823.00,2450.00,1026.15,48,60,81,35,43,60,13,16,21,5.08,16.04,2.02,2,2,15896,15699,15234,3,3,3,17269,16875,15592,12971,12627,11467,4181,4130,4006,116,119,120,52,53,54,5.4,9.4,2.39,36506,81,36290,37,18,3746,3918,1562,87,13
"""06001404501""","""San Francisco-Oakland-Berkeley, CA""",1.00,1820.00,685.00,266.66,50,62,84,37,46,63,13,16,21,5.18,13.31,2.03,2,2,15062,14865,14399,5,5,5,17219,16827,15541,13053,12709,11544,3962,3910,3786,205,208,211,91,93,94,6.7,9.5,2.57,45257,91,42266,37,10,3948,4001,3501,89,11
"""06001404502""","""San Francisco-Oakland-Berkeley, CA""",4.00,6110.00,2582.00,761.05,48,60,81,34,43,59,14,17,21,5.27,18.42,2.09,2,2,16433,16236,15771,3,3,3,17838,17444,16141,13398,13054,11873,4323,4271,4147,117,119,121,52,53,54,5.3,9.1,3.39,35023,95,33032,38,15,3709,3856,901,95,5
"""06001404600""","""San Francisco-Oakland-Berkeley, CA""",4.00,4934.00,1935.00,1205.36,48,59,80,34,42,58,14,17,21,5.33,11.38,2.06,2,2,16348,16151,15686,2,2,2,17606,17212,15918,13204,12860,11689,4300,4249,4125,102,104,105,45,46,47,5.1,9.1,1.61,34709,89,31964,38,20,3661,4001,968,85,15
"""06001404700""","""San Francisco-Oakland-Berkeley, CA""",2.00,2187.00,849.00,295.47,50,62,84,36,46,63,14,17,21,5.21,14.96,2.10,2,2,15708,15511,15045,5,5,5,17837,17444,16138,13495,13151,11966,4132,4080,3956,210,213,216,94,95,96,5.7,9.5,2.87,47513,97,41855,37,20,3929,4001,1724,95,5
"""06001404800""","""San Francisco-Oakland-Berkeley, CA""",2.00,2744.00,1145.00,155.28,37,45,61,25,31,43,12,14,18,3.84,28.36,1.77,2,2,12577,12380,11914,8,8,9,15026,14636,13432,11343,10999,9915,3308,3257,3133,374,380,384,167,170,172,8.5,9.5,7.37,54912,47,47890,37,10,2687,3714,1684,49,51
"""06001404900""","""San Francisco-Oakland-Berkeley, CA""",4.00,4669.00,2041.00,249.87,40,49,66,28,35,49,12,14,18,2.81,22.08,1.78,2,2,12010,11813,11348,9,9,10,15016,14627,13419,11435,11091,10003,3159,3107,2984,421,428,433,188,191,193,8.8,9.5,8.17,62529,61,56372,36,4,3044,3772,1953,59,41
"""06001405000""","""San Francisco-Oakland-Berkeley, CA""",3.00,3665.00,1580.00,197.85,43,54,72,31,39,54,12,14,18,4.00,32.97,1.81,2,2,12255,12058,11592,8,8,9,15232,14842,13625,11632,11288,10190,3224,3172,3048,376,382,386,168,170,172,8.8,9.6,7.99,63401,62,61204,36,6,3378,3959,1974,70,30
"""06001405100""","""San Francisco-Oakland-Berkeley, CA""",5.00,4508.00,1702.00,310.49,48,60,81,35,44,61,13,16,20,4.55,25.25,1.99,2,2,13512,13315,12849,6,6,7,16623,16232,14960,12779,12435,11283,3554,3502,3379,290,295,298,129,132,133,8.4,9.7,5.48,67258,96,68443,35,7,3799,4001,,95,5
"""06001405200""","""San Francisco-Oakland-Berkeley, CA""",4.00,4913.00,2292.00,211.97,28,35,46,18,23,32,10,12,15,2.59,30.60,1.47,1,1,9298,9101,8635,12,12,12,12437,12049,10936,9445,9101,8106,2446,2394,2271,546,554,560,244,247,250,9.4,9.8,10.81,76218,24,99856,35,3,1974,2552,1756,26,74
"""06001405301""","""San Francisco-Oakland-Berkeley, CA""",3.00,2872.00,1479.00,56.28,28,34,46,19,23,32,9,11,13,2.37,63.59,1.34,1,1,8576,8379,7914,14,14,14,11490,11104,10030,8610,8266,7310,2256,2204,2081,624,633,639,278,283,285,9.5,9.8,26.28,76570,5,120724,35,4,2014,763,2033,10,90
"""06001405302""","""San Francisco-Oakland-Berkeley, CA""",2.00,2559.00,1539.00,50.80,24,30,39,15,19,26,9,11,13,1.32,41.63,1.27,1,1,8220,8023,7557,22,23,23,11358,10976,9924,8179,7835,6899,2162,2110,1987,1016,1031,1038,454,460,464,9.5,9.8,30.30,73161,3,121641,35,3,1643,1517,1636,8,92
"""06001405401""","""San Francisco-Oakland-Berkeley, CA""",3.00,3541.00,1584.00,77.57,25,31,42,16,20,28,9,11,14,2.15,47.79,1.38,1,1,8976,8779,8313,13,13,14,11820,11434,10348,8859,8515,7546,2361,2309,2186,600,610,616,268,272,275,9.5,9.7,20.42,71447,10,102704,36,3,1762,1283,1773,10,90
"""06001405402""","""San Francisco-Oakland-Berkeley, CA""",2.00,3673.00,1232.00,70.52,21,26,35,12,15,21,9,11,14,3.24,57.99,1.39,1,1,9353,9156,8690,12,13,13,11923,11536,10448,8898,8554,7584,2460,2408,2285,564,573,579,252,256,258,9.5,9.6,17.47,68714,6,89057,36,3,1293,,1426,10,90
"""06001405500""","""San Francisco-Oakland-Berkeley, CA""",4.00,3537.00,1610.00,101.74,27,33,44,17,22,30,10,12,15,2.77,44.33,1.48,1,1,9626,9429,8963,11,11,12,12533,12145,11029,9495,9150,8153,2532,2480,2357,506,515,520,226,230,232,9.4,9.7,15.82,72452,24,91426,36,3,1861,2132,1746,25,75
"""06001405600""","""San Francisco-Oakland-Berkeley, CA""",3.00,3044.00,1447.00,105.95,31,38,51,21,26,36,10,12,15,2.82,48.32,1.50,1,1,9825,9628,9162,12,12,12,12772,12384,11261,9656,9312,8306,2584,2533,2409,532,540,546,237,241,244,9.4,9.7,13.66,72358,23,80344,36,4,2229,3366,1756,26,74
"""06001405700""","""San Francisco-Oakland-Berkeley, CA""",3.00,3522.00,1505.00,135.13,31,39,52,21,26,36,10,13,16,3.39,39.50,1.57,2,1,10489,10292,9826,11,11,12,13351,12963,11820,10079,9735,8709,2759,2707,2584,513,521,526,229,233,235,9.3,9.6,11.14,68067,26,64326,36,4,2272,3377,1705,31,69
"""06001405800""","""San Francisco-Oakland-Berkeley, CA""",4.00,4182.00,1342.00,128.26,26,32,42,15,19,26,11,13,16,3.48,41.74,1.63,2,1,10892,10695,10229,9,9,9,13721,13332,12170,10459,10115,9072,2865,2813,2690,397,404,408,177,180,182,9.2,9.5,10.46,68404,43,70533,37,5,1635,2752,1063,36,64
"""06001405901""","""San Francisco-Oakland-Berkeley, CA""",3.00,3757.00,1089.00,111.84,26,32,43,16,20,27,10,13,16,3.93,39.45,1.59,2,1,10544,10347,9881,10,10,10,13423,13034,11885,10199,9855,8824,2773,2722,2598,450,458,462,201,204,206,9.3,9.5,9.74,65104,46,70216,37,2,1711,1502,1694,25,75
"""06001405902""","""San Francisco-Oakland-Berkeley, CA""",2.00,3138.00,923.00,120.41,31,39,52,21,26,36,10,13,16,4.20,33.41,1.61,2,1,10541,10344,9878,9,9,9,13527,13138,11982,10339,9995,8958,2773,2721,2597,415,422,426,185,188,190,9.3,9.6,7.67,67614,47,77877,37,2,2227,2471,2064,39,61
"""06001406000""","""San Francisco-Oakland-Berkeley, CA""",4.00,4735.00,1816.00,522.29,22,27,35,12,15,21,10,12,14,2.19,22.06,1.42,1,1,9452,9255,8789,17,17,17,12332,11947,10851,9096,8752,7772,2486,2434,2311,750,761,768,335,340,343,9.4,9.6,3.48,67319,18,105918,36,4,1302,1022,1345,19,81
"""06001406100""","""San Francisco-Oakland-Berkeley, CA""",4.00,4939.00,1810.00,455.67,31,38,51,20,25,35,11,13,16,3.63,22.63,1.58,2,1,11566,11369,10903,14,14,15,13804,13418,12274,10115,9771,8744,3042,2991,2867,646,657,663,289,293,296,9.2,9.1,3.97,56395,20,62790,39,4,2164,2748,1940,35,65
"""06001406201""","""San Francisco-Oakland-Berkeley, CA""",4.00,5072.00,1515.00,100.83,26,32,42,16,19,27,10,12,16,2.42,30.25,1.52,1,1,10497,10300,9835,15,15,15,13196,12810,11681,9774,9429,8418,2761,2710,2586,661,671,677,295,300,302,9.3,9.4,15.02,63169,28,65882,37,3,1675,2092,1521,20,80
"""06001406202""","""San Francisco-Oakland-Berkeley, CA""",3.00,4733.00,1350.00,96.91,25,31,41,15,18,25,10,12,16,4.01,61.69,1.50,1,1,10755,10558,10092,18,18,19,13307,12923,11801,9661,9317,8311,2829,2777,2654,817,829,836,365,370,373,9.2,9.3,13.93,61271,20,63297,38,7,1588,1340,1385,13,87
"""06001406300""","""San Francisco-Oakland-Berkeley, CA""",4.00,4556.00,1379.00,120.02,30,37,49,18,23,32,11,14,17,3.50,40.54,1.72,2,2,11669,11472,11007,9,9,9,14499,14109,12921,11025,10681,9611,3070,3018,2894,404,411,415,180,183,185,9.0,9.5,11.49,65150,53,62550,37,6,1987,2916,1333,45,55
"""06001406400""","""San Francisco-Oakland-Berkeley, CA""",2.00,2598.00,824.00,120.58,32,40,53,21,26,35,11,14,17,3.59,24.92,1.73,2,2,11788,11591,11125,10,10,10,14647,14258,13066,11094,10750,9677,3101,3049,2925,451,459,464,202,205,207,8.9,9.5,6.83,65634,46,58570,37,9,2223,2728,2047,42,58
"""06001406500""","""San Francisco-Oakland-Berkeley, CA""",4.00,6494.00,1920.00,184.10,32,39,52,21,26,36,11,13,17,4.36,47.39,1.66,2,2,11346,11149,10684,11,11,11,14108,13720,12551,10630,10286,9235,2985,2933,2809,493,501,506,220,224,226,9.0,9.4,10.43,63063,39,56991,37,6,2239,3193,1760,33,67
"""06001406601""","""San Francisco-Oakland-Berkeley, CA""",4.00,4531.00,1836.00,184.69,30,38,50,19,24,33,11,14,18,3.82,38.45,1.75,2,2,12051,11854,11388,9,9,9,14797,14408,13210,11221,10877,9798,3170,3118,2995,406,413,417,181,184,186,8.8,9.4,9.94,58867,51,48529,37,5,2052,2522,1740,46,54
"""06001406602""","""San Francisco-Oakland-Berkeley, CA""",2.00,2540.00,925.00,102.48,29,36,48,18,23,31,11,13,16,3.54,37.38,1.62,2,1,11006,10809,10344,11,11,11,13805,13417,12258,10415,10071,9030,2895,2843,2720,495,503,508,221,224,227,9.1,9.5,9.03,61903,29,53255,37,4,1964,2585,1573,30,70
"""06001406700""","""San Francisco-Oakland-Berkeley, CA""",5.00,5380.00,2083.00,416.06,42,52,69,29,36,50,13,15,19,4.76,27.07,1.92,2,2,14016,13819,13354,6,6,7,16291,15900,14650,12316,11972,10842,3687,3635,3511,289,294,297,129,131,133,6.7,9.4,5.01,52067,76,43713,37,14,3118,3912,1541,66,34
"""06001406800""","""San Francisco-Oakland-Berkeley, CA""",4.00,3971.00,1409.00,225.49,39,49,65,27,34,46,13,15,19,4.70,32.12,1.90,2,2,13939,13742,13276,6,7,7,16181,15790,14544,12220,11876,10751,3667,3615,3491,294,299,303,131,134,135,7.6,9.3,6.25,49171,76,40080,38,4,2888,3153,2091,71,29
"""06001406900""","""San Francisco-Oakland-Berkeley, CA""",3.00,3865.00,1579.00,215.75,38,47,64,26,32,45,12,15,19,4.54,40.70,1.84,2,2,13824,13627,13162,7,7,7,15742,15351,14126,11787,11443,10338,3636,3585,3461,318,323,327,142,144,146,7.1,9.2,7.32,49138,57,39170,38,7,2801,3336,1621,61,39
"""06001407000""","""San Francisco-Oakland-Berkeley, CA""",5.00,6202.00,1995.00,213.24,35,43,58,23,29,40,12,15,18,4.47,47.34,1.83,2,2,12920,12723,12258,8,8,8,15471,15081,13859,11730,11386,10283,3399,3347,3223,343,349,352,153,156,157,8.5,9.3,9.36,57203,61,46093,38,6,2484,2558,2303,56,44
"""06001407101""","""San Francisco-Oakland-Berkeley, CA""",2.00,4053.00,1133.00,91.63,31,38,51,19,24,33,11,14,17,4.35,54.16,1.71,2,2,11938,11741,11275,11,12,12,14628,14240,13055,10973,10629,9562,3140,3088,2965,515,523,528,230,234,236,8.9,9.3,12.36,60608,51,55205,38,6,2082,2596,1419,40,60
